Key,russian
lootVehicleEmpty,"[73E9B2][{0}][-] Открыть {1}{2}\n[606060](Пусто)[-]"
lootVehicleNew,"[73E9B2][{0}][-] Обыскать {1}{2}\n[73E9B2](Нетронут)[-]"
lootVehicleTouched,"[73E9B2][{0}][-] Открыть {1}{2}"
lootVehicleSecureJammed,"[73E9B2][{0}][-] Использовать {1}{2}\n[606060](Заклинило)[-]"
lootVehicleSecureLocked,"[73E9B2][{0}][-] Использовать {1}{2}\n[606060](Заперто)[-]"
lootVehicleSecureUnlocked,"[73E9B2][{0}][-] Использовать {1}{2}\n[606060](Открыто)[-]"
tooltipJammed,"[73E9B2][{0}][-] Использовать {1}\n[606060](Заклинило)[-]"
tooltipLocked,"[73E9B2][{0}][-] Использовать {1}\n[606060](Закрыт)[-]"
tooltipLockedEmpty,"[73E9B2][{0}][-] Использовать {1}\n[606060](Заперто, пусто)[-]"
tooltipUnlocked,"[73E9B2][{0}][-] Использовать {1}\n[606060](Открыт)[-]"
tooltipUnlockedEmpty,"[73E9B2][{0}][-] Использовать {1}\n[606060](Открыто, пусто)[-]"
useBlock,"[73E9B2][{0}][-] Использовать {1}"
useDoorPicked,"[73E9B2][{0}][-] Использовать {1}\n[606060](Взломано)[-]"
editLabel,"[73E9B2][{0}][-] Изменить метку"
useElevator,"[73E9B2][{0}][-] Использовать [808080](Этаж {1})[-]"
lootItem,"[73E9B2][{0}][-] Поднять {1}"
tooltipInteract,"[73E9B2][{0}][-] Использовать {1}"
vendingMachineActivate,"[73E9B2][{0}][-] Использовать {1}"
useSwitchOff,"[73E9B2][{0}][-] Выключить"
useSwitchOn,"[73E9B2][{0}][-] Включить"
useSwitchLightOff,"[73E9B2][{0}][-] Выключить"
useSwitchLightOn,"[73E9B2][{0}][-] Включить"
npcTooltipTalk,"[73E9B2][{0}][-] Говорить с {1}"
pickupCrops,"[73E9B2][{{0}}][-] Собрать [decea3]{0}[-] {1}"
pickupPrompt,"[73E9B2][{{0}}][-] Поднять {0}"
xuiVendingWithOwner,"Торговый автомат\n[808080]({0})[-]"
xuiLockAmmo,"Включить"
xuiUnlockAmmo,"Выкл"
activeBlockPrompt,"{0}\n[73E9B2](Активный)[-]"
inactiveBlockPrompt,"{0}\n[606060](Неактивный)[-]"
uiOpenJammed,"[73E9B2][{0}][-] Открыть {1}\n[606060](Заклинило)[-]"
uiOpenLocked,"[73E9B2][{0}][-] Открыть {1}\n[606060](Закрыт)[-]"
uiOpenUnlocked,"[73E9B2][{0}][-] Открыть {1}\n[606060](Открыт)[-]"
uiOwnedBy,"Владелец: {0}"
blockcommand_aim,"Наведение"
blockcommand_confirm,"Подтвердить размещение"
blockcommand_craft,"Создать"
blockcommand_do_nothing,"Ничего не делать"
blockcommand_edit1,"Изменить"
blockcommand_edit2,"Изменить"
blockcommand_fuel_add,"Добавить в ёмкость"
blockcommand_fuel_take,"Наполнить из ёмкости"
blockcommand_recharge,"Перезарядить"
blockcommand_refuel,"Заправить"
blockcommand_add_filter,"Добавить фильтр"
blockcommand_research,"Исследовать"
blockcommand_repair,"Починить"
blockcommand_search,"Поиск"
blockcommand_toggle,"Вкл/выкл"
blockcommand_pick1,"Взлом\n[606060](Отмычка)[-]"
blockcommand_pick2,"Взлом\n[606060](Заколка)[-]"
blockcommand_set_spawn,"Установить точку возрождения"
blockcommand_useC4,"Использовать взрыв пакет"
blockcommand_upgrade,"Улучшить"
blockcommand_broadcast_on,"Трансляция хранилища"
blockcommand_broadcast_off,"Остановить трансляцию"
blockcommand_turn_on,"Вкл"
blockcommand_turn_off,"Выкл"
uiNull,""
uiActionFillFrom,"{0} Наполнить {1} из {2}"
uiActionFillTo,"{0} Добавить {1} в {2}"
uiActionChangeAmountTip,"[c0c0c0]([-][73E9B2]{0}[-] [c0c0c0]или[-] [73E9B2]{1}+{0}[-] [c0c0c0] — изменить количество)[-]"
uiActionTake,"{0} Взять {1}"
uiActionUse,"[73E9B2][{0}][-] Испо-вать {1}"
uiActionUntouched,"\n[73E9B2](Нетронутый)[-]"
uiActionSkillLevelUp,"Ваш навык [decea3]{0}[-] повысился до [decea3]{1}[-]!"
uiActive,"Активно"
uiAll,"Всё"
uiAllResearch,"Все исследования"
uiAmmo,"Патроны"
uiAmmoAndExplosives,"Боеприпасы/взрывчатые вещества"
uiAmmunition,"Амуниция"
uiArmor,"Броня"
uiAttention,"Внимание"
uiBackpack,"Рюкзак"
uiBasicCrafting,"Ремесло"
uiBiomeName,"Биом"
uiBloodMoon,"Кровавая луна"
uiBlockAndMaterialName,"{1} / {0}"
uiBlockIDUsed,"Использовано ID блоков: {0}"
uiBlockMissing,"Не хватает блока"
uiBlockName,"{0}"
uiBooksSchematics,"Книги и схемы"
uiBroadcasting,"Авто-передача предметов"
uiBroadcastRange,"Радиус трансляции"
uiBroadcastStorage,"Передача предметов для крафта"
uiBuffs,"Баффы"
uiCantPickUpFuelNotEmpty,"Слоты с топливом не пуст!"
uiCantPickUpInputNotEmpty,"Слоты с вводом не пусты!"
uiCantPickUpOutputNotEmpty,"Слоты с готовой продукцией не пусты!"
uiCantPickUpQueueNotEmpty,"Слоты очереди не пусты!"
uiCantPickUpToolsNotEmpty,"Слоты с инструментом не пусты!"
uiCatchTarget,"[73E9B2][{0}][-] Поймать {1}"
uiCategoryTotal,"Всего в категории: {0}"
uiChickenCoopFeed,"[73E9B2][{0}][-] Кормить {1}"
uiCircuit,"Цепь: {0}"
uiClothing,"Одежда"
uiClothingAndArmor,"Одежда и броня"
uiClothingArmorMods,"Модификации одежды/брони"
uiColorPickerHex,"Цвет (Hex)"
uiColorPickerRGB,"Цвет (RGB)"
uiConfigureBlock,"[73E9B2][{0}][-] Настроить {1}"
uiConfirmPlacement,"[73E9B2][{{0}}][-] Подтвердить размещение"
uiContainer,"Контейнер"
uiCopy,"Копировать"
uiCopyIDToClipboard,"Копировать ID в буфер"
uiCount,"Количество"
uiCrafted,"Создается в"
uiCraftedIn,"Создается в "
uiCraftingFuel,"Топливо"
uiCraftingInput,"Ввод"
uiCraftingOutput,"Выход"
uiCraftingQueue,"Очередь"
uiCraftingQueueAndOutput,"Очередь/Выход"
uiCraftingTools,"Инструменты"
uiCraftOutput,"Продукция"
uiCrouching,"Присесть"
uiDayLeft,"Остался день"
uiDaysLeft,"Осталось дней"
uiDebugBiome,"Биом"
uiDebugBlock,"Блок"
uiDebugClass,"Класс"
uiDebugWeather,"Погода"
uiDebugGamepadBtn,"Геймпад кноп."
uiDebugMaterial,"Материал"
uiDebugPrefab,"Префаб"
uiDebugRegion,"Регион"
uiDebugTileEntity,"Плитка"
uiDebugObject,"Объект"
uiDebugWaterFlow,"Поток воды"
uiDescription,"Описание"
uiDetails,"Подробности"
uiDifficulty,"Сложность"
ui_door_prefix," ("
ui_door_suffix,")"
ui_door_bottom,"Нижняя дверь"
ui_door_left,"Левая дверь"
ui_door_middle,"Средняя дверь"
ui_door_right,"Правая дверь"
ui_door_top,"Верхняя дверь"
ui_drawer_bottom,"Нижний ящик"
ui_drawer_left,"Левый ящик"
ui_drawer_left_bottom,"Левый нижний ящик"
ui_drawer_left_middle,"Левый средний ящик"
ui_drawer_left_top,"Левый верхний ящик"
ui_drawer_middle,"Средний ящик"
ui_drawer_right,"Правый ящик"
ui_drawer_right_bottom,"Правый нижний ящик"
ui_drawer_right_middle,"Правый средний ящик"
ui_drawer_right_top,"Правый верхний ящик"
ui_drawer_top,"Верхний ящик"
ui_drawer_top_middle,"Верхний средний ящик"
uiExplosives,"Взрывчатые вещества"
uiExplosivesAndMines,"Взрывчатка и мины"
uiFeatureInProgress,"Функция, находящаяся в стадии разработки.\nМожет не работать, ничего не делать или работать частично."
uiFoodAndDrinks,"Пища и напитки"
uiGameContinue,"Продолжить игру"
uiGameNew,"Новая игра"
uiGrowing,"Растет "
uiHeaderCrafting,"Создать"
uiHeaderCharacter,"Персонаж"
uiHeaderMap,"Карта"
uiHeaderSkills,"Прогресс"
uiHeaderQuests,"Задания"
uiHeaderJournal,"Журнал"
uiHeaderPlayers,"Игроки"
uiHeaderCreative,"Креатив"
uiIdle,"Ожидание"
uiIngredientHave,", В наличии: "
uiIngredientInclModded,"Включая модифицированные"
uiIngredientNeed,"\nНужно: "
uiIngredientRetrieve,"\nМожно извлечь: "
uiInspectBlock,"[73E9B2][{0}][-] Осмотреть {1}"
uiInspectLockSlot,"Заблокировать слот инвентаря"
uiInspectStackSingle,"Сбросить по одному предмету за раз"
uiInspectStackSplit,"Зажать и тащить, взять половину стопки"
uiInspectStackSwap,"Сбросить или поменять местами стопку"
uiInspectStackTake,"Зажать и тащить, взять стопку"
uiInspectStackView,"Исследовать предмет"
uiInsufficientStationLevel,"Недостаточный уровень верстака"
uiInteractWithBlock,"Взаимодействовать с {0}"
uiInventory,"Инвентарь"
uiItemNotFound,"Не хватает [73E9B2]{0}[-]"
uiItemRequired,"Необходимо {0}"
uiKeyPrimary,"[action:local:Primary]"
uiKeySecondary,"[action:local:Secondary]"
uiKeyLockSlot,"[action:gui:GUILockSlot]"
uiLevelShort,"УРВ"
uiLightRecharge,"[73E9B2][{0}][-] Перезарядить {1}"
uiLightToggle,"[73E9B2][{0}][-] переключить {1}"
uiLocked,"Заперто"
uiLockAutoPick,"Автовзлом"
uiLockAutoPickChance,"Шанс автовзлома: [decea3]{0}%[-]"
uiLockVeryEasy,"Очень легко"
uiLockEasy,"Легко"
uiLockAverage,"Средняя"
uiLockHard,"Тяжело"
uiLockVeryHard,"Очень трудно"
uiLockExtremelyHard,"Крайне тяжело"
uiLockImpossible,"Невозможно"
uiLockpicked,"Взломано"
uiLockpickingInsufficient,"Ваш навык взлома [FF1919]{0}[-], требуется для взлома [decea3]{1}[-]."
uiLockpickingSkillLevel,"Взлом замков"
uiLockpickingLockLevel,"Замок уровень?"
uiLockpicksLeft,"У вас есть [decea3]{0} {1}[-]"
uiLockpicksLeftNone,"У вас нет [decea3]{0}[-] в инвентаре."
uiLockpicksTooltipKB,"Используйте клавиши[73E9B2][{0}][-] или [73E9B2][{1}][-] или удерживайте [73E9B2][{2}][-] и перетащите [73E9B2]курсор мыши[-] по экрану, чтобы переместить [decea3]{3}[-]. Затем нажмите [73E9B2][{4}][-], чтобы попытаться взломать."
uiLockpicksTooltipGP,"Используйте клавиши [73E9B2][{0}][-] или [73E9B2][{1}][-] для перемещения [decea3]{2}[-]. Затем [73E9B2][{3}][-], чтобы попытаться взломать."
uiUnlocksAtTradeStage,"Открывается на уровне торговли"
uiUnlocksAtTradeStageTip,"Открывается на уровне торговли {0}"
uiMapBedroll,"Кровать"
uiMapCursor,"Курсор"
uiMapInfo,"Информация"
uiMapPlayer,"Позиция"
uiMapWaypoint,"Точка маршрута"
uiMapWaypoints,"Точка маршрута"
uiMapWaypointsPersonal,"Личные"
uiMapWaypointsShared,"Общие"
uiMaterial,"Материал"
uiMax,"Максимум"
uiMenuSupport,"Пожер-ия и связь"
uiMiscellaneous,"Разное"
uiMissingCraftingRecipe,"Нет рецепта"
uiMissingIngredients,"Не хватает комп-тов"
uiMissingScrapWires,"У вас нет [decea3]обрезков проволоки[-] в инвентаре"
uiMissingTool,"Нужен инструмент"
uiMissingKnowledge,"Не хватает знаний"
uiMods,"Моды"
uiMovementSpeed,"Скорость перемещения"
uiMovementState,"Движение"
uiNearbyStorage,"Ближайшие хранилища"
uiNoFuel,"Нет топлива"
uiNoPower,"Нет питания"
uiNoSellPrice,"Не продается"
uiNoSkillPoints,"Нет очков навыков"
uiNoUpgradesForBlock,"Блок не может быть улучшен"
uiOr,"или"
uiPatchNotes,"Новости и последние обновления"
uiPerkPoints,"Очки умений"
uiPinIngredients,"Закр-ть ин-ты"
uiPlantNeedsMoreLight,"\n[FF6A00]Нужно больше света[-]"
uiPlantNoLight,"Недостаточно света"
uiPlantHasLight,"Света достаточно"
uiPlantNotFarmland,"Неподходящая почва"
uiPlantLightInfo,"Есть: {0}, нужно: {1}"
uiPlayerEffects,"Эффекты"
uiPlayerPreview,"Предпросмотр"
uiPlayerHidePreview,"Скрыть предпросмотр персонажа"
uiPlayerStats,"Статы"
uiPlayerStatsCore,"Основные показатели"
uiPlayerStatsMore,"Подробнее"
uiPlayerStatsLess,"Скрыть детали"
uiPlayerStatsAdvanced,"Доп. сведения"
uiPower,"Энергия"
uiPowered,"Под питанием"
uiPowerOutput,"Выход"
uiPowerRemainingFuel,"Остаток топлива"
uiPowerUsed,"Использовано"
uiPrefabId,"ID префаба"
uiPrefabName,"Префаб"
uiPrefabNr,"№"
uiPricePrefix,""
uiPrimaryMaterial,"Основной материал"
uiProcessLaying,"\n[decea3]Несётся[-]"
uiProcessGathering,"\n[decea3]Сбор[-]"
uiProcessGrowing,"\n[decea3]Рост[-]"
uiProcessMining,"\n[decea3]Добыча[-]"
uiProcessSwarming,"\n[decea3]Роение[-]"
uiQuality,"Качество"
uiQuality1,"П Р О С Т О Й"
uiQuality2,"О Б Ы Ч Н Ы Й"
uiQuality3,"Н Е О Б Ы Ч Н Ы Й"
uiQuality4,"Р Е Д К И Й"
uiQuality5,"Э П И Ч Е С К И Й"
uiQuality6,"Л Е Г Е Н Д А Р Н Ы Й"
uiQualityPrefix1,"ПРОСТОЙ"
uiQualityPrefix2,"ОБЫЧНЫЙ"
uiQualityPrefix3,"НЕОБЫЧНЫЙ"
uiQualityPrefix4,"РЕДКИЙ"
uiQualityPrefix5,"ЭПИЧЕСКИЙ"
uiQualityPrefix6,"ЛЕГЕНДАРНЫЙ"
uiQuestsShared,"Общие"
uiRadiation,"Радиация"
uiRandomSpawner,"[decea3][{0} Случайный спаунер][-]"
uiRayHitBlockName,"Блок"
uiRayHitTileEntity,"Объект"
uiRecyclable,"Перерабатываемый"
uiRefillWater,"Набрать воду"
uiRefreshServerList,"Обновить"
uiRegionFile,"Файл регионов"
uiRepair,"Ремонт"
uiRepairable,"Ремонтопригодно"
uiRepairCost,"Цена ремонта"
uiRepairItem,"Ремонтируется"
uiRequirements,"Требования"
uiRequires,"Необходимо"
uiRequiredMaterials,"Требуемые материалы"
uiRequiredTool,"Инструмент"
uiRequiredTradeStage,"Требуемый уровень торговли"
uiResearchLearn,"Изучить"
uiResearchLearned,"Изучено"
uiResearchUnlearned,"Не изучено"
uiResearchStatus,"Статус"
uiResetZoomAndPosition,"Сбросить масштаб и положение"
uiResistance,"Сопротивления"
uiResistances,"Сопротивления"
uiRespecPoints,"Сбросить очки"
uiRestrictedArea,"Запретная зона"
uiRetrievableComponents,"Извлекаемые детали"
uiRunning,"Бег"
uiScrapped,"Разбирается"
uiScrappedIn,"Разбирается на "
uiScrapMaterial,"Лом"
uiSearch,"Поиск"
uiServerFilters,"Фильтры"
uiServers,"Сервера"
uiServiceInfo,"Служебная информация"
uiSettings,"Настройки"
uiShowOnMap,"Показать на карте"
uiShowPartsPrefabs,"Показывать префабы частей"
uiShowRwgTilePrefabs,"Показывать префабы RWG"
uiSignEdit,"Редактировать"
ui_skill_buy,"Повысить уровень"
ui_skill_cost,"Стоимость повышения"
ui_skill_exp,"Опыт навыка"
ui_skill_level,"Текущий уровень"
ui_skill_points,"Очки умений"
uiSkillPoint,"Очко умения"
uiSkillPoints,"Очки умения"
ui_skill_points_available,"Доступные очки умений"
uiSkillPointsName,"Очки умения"
uiSkillBuy,"Повышение уровня"
uiSkillPointShort,"ОУ"
uiSkillPointsShort,"ОУ"
uiSortName,"Сортировка по названию (по возрастанию)"
uiSortGroup,"Сортировка по типу (по возрастанию)"
uiSortPrice,"Сортировка по цене (по убыванию)"
uiSortWeight,"Сортировка по весу (по убыванию)"
uiSPCostNext,"Следующий уровень: "
uiSpeedKMH," КМ/Ч"
uiSpeedMPH," миль/ч"
uiStats,"Статистика"
uiStorage,"Хранилище"
uiStorageCompartment,"Зона"
uiStorageCompartments,"Зоны"
uiTabPersonal,"Личные"
uiTabShared,"Общий"
uiTeleportEW,"X (В/З)"
uiTeleportNS,"Z (С/Ю)"
uiTimeDay,"{0} день"
uiTimeDays,"{0} дней"
uiTimeHour,"{0} час"
uiTimeHours,"{0} часов"
uiTimeMinute,"{0} минут"
uiTimeMinutes,"{0} минут"
uiTimeSecond,"{0} секунд"
uiTimeSeconds,"{0} секунд"
uiToggleSearch,"Переключить поиск"
uiTotal,"Всего: {0}"
uiTotalCostMissing,"Без стоимости: {0}"
uiTotalRecipesMissing,"Без рецептов: {0}"
uiTotalCategoryRecipesMissing,"Без рецептов в категории: {0}"
uiTraderStage,"Уровень торговли"
uiTraps,"Ловушки"
uiTransferAll,"Move все предметы\nиз рюкзак к контейнер"
uiTransferAllToBag,"Взять всё"
uiTransferStackables,"переместить все складываемые предметы\nиз рюкзак к контейнер"
uiTransferStackablesToBag,"Возьмите все складываемые предметы"
uiTurnOn,"Вкл"
uiTurnOff,"Выкл"
uiType,"Тип"
uiUpgrade,"Улучшение"
uiUpgradeChance,"Шанс улучшения"
uiUpgradeCost,"Цена улучшения"
uiUpgradeFail,"[FF1919]Улучшение неудачно[-]"
uiUpgradeMax,"Максимальное улучшение"
uiUpgradeSuccess,"[73E9B2]Успешно улучшено[-]"
uiUpgradeRemoveMods,"[decea3]Нельзя улучшить с уст. модами[-]"
uiUpgradeRequiresRepairs,"[decea3]Сперва надо починить[-]"
uiUnderwater,"Под водой"
uiUnlocks,"Открывает"
uiUnlocked,"Разблокировано"
uiUnlockedBy,"Открывается в"
uiUnlockedByResearch,"Открывается исследованием {0}"
uiUnknownIngredient,"Неизвестный компонент"
uiUnlearned,"Неизученный"
uiUnpinPinnedRecipe,"Открепить закрепленный рецепт"
uiValue,"Ценность"
uiVehicleCargo,"Грузоподъёмность"
uiVehicleSeats,"Сидений"
uiVehicleSlots,"Грузовые слоты"
uiVehicleConsumption,"Расход"
uiVehicleFuelEfficiency,"Расход"
uiVehicles,"Транспорт"
uiVehicleSpeed,"Скорость"
uiVehicleSpeedTurbo,"Ускорение"
uiVehicleTank,"Бензобак"
uiVersionNewAvailable,"Доступно обновление"
uiWalking,"Ходьба"
uiWireLength,"Длина провода"
uiWireParentLimitWarning,"У этого электрического компонента не может быть больше одного источника."
uiWorkstation,"Верстак"
